Mã CK,Sàn niêm yết,Tên Doanh Nghiệp (Tiếng Việt),Tên Tiếng Anh (English Name),Trang chủ (Website),Cổng Cổ đông (IR Portal),Ngành ICB Cấp 1,Ngành ICB Cấp 2,Mã ISIN Quốc tế,Giá tham chiếu (VND),Trạng thái giao dịch
TBC,HOSE,Công ty Cổ phần Thủy điện Thác Bà,Thac Ba Hydropower Joint Stock Company,https://thacba.vn,https://thacba.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TBC8,32000,Đang giao dịch
TCB,HOSE,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,Vietnam Technological and Commercial Joint Stock Bank,https://techcombank.com,https://techcombank.com/ve-chung-toi/nha-dau-tuTPBNg,Tài chính,Ngân hàng,VN000000TCB8,32400,Đang giao dịch
TCH,HOSE,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Hoang Huy Investment Financial Services Joint Stock Company,https://hoanghuy.vn,https://hoanghuy.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000TCH5,12200,Đang giao dịch
TCI,HOSE,Công ty Cổ phần Chứng khoán Thành Công,ThanhCong Securities Company,https://tcsc.vn,https://tcsc.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000TCI3,9750,Đang giao dịch
TCL,HOSE,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Tan Cang Logistics and Stevedoring Joint Stock Company,http://tancanglogistics.com,http://tancanglogistics.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000TCL7,29100,Đang giao dịch
TCM,HOSE,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,Thanh Cong Textile Garment Investment Trading Joint Stock Company,https://thanhcong.com.vn,https://thanhcong.com.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000TCM5,16850,Đang giao dịch
TCO,HOSE,CÔNG TY CỔ PHẦN JANUS GROUP,Janus Group Joint Stock Company,https://janusgroup.vn,https://janusgroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TCO1,10800,Đang giao dịch
TCR,HOSE,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,Taicera Enterprise Company,http://taicera.com,http://taicera.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TCR4,2100,Đang giao dịch
TCT,HOSE,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,Tay Ninh Cable Car Tour Company,http://catour.com.vn,http://catour.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TCT0,17650,Đang giao dịch
TCX,HOSE,Công ty cổ phần Chứng khoán Kỹ Thương,Techcom Securities Joint Stock Company,https://tcbs.com.vn,https://tcbs.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000TCX2,40000,Đang giao dịch
TDC,HOSE,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Binh Duong Trade and Development Joint Stock Company,https://becamextdc.com.vn,https://becamextdc.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TDC4,7140,Đang giao dịch
TDG,HOSE,Công ty Cổ phần Đầu tư TDG GLOBAL,TDG GLOBAL Investment Joint Stock Company,https://thaiduongpetrol.vn,https://thaiduongpetrol.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TDG5,2300,Đang giao dịch
TDH,HOSE,Công ty Cổ phần Phát triển Nhà Thủ Đức,Thu Duc Housing Development Corporation,http://thuduchouse.com,http://thuduchouse.com/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000TDH3,3200,Đang giao dịch
TDM,HOSE,Công ty Cổ phần Nước Thủ Dầu Một,Thu Dau Mot Water Joint Stock Company,https://tdmwater.vn,https://tdmwater.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TDM3,58100,Đang giao dịch
TDP,HOSE,Công ty Cổ phần Thuận Đức,Thuan Duc Joint Stock Company,https://thuanducjsc.vn,https://thuanducjsc.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TDP6,32900,Đang giao dịch
TDW,HOSE,Công ty Cổ phần Cấp nước Thủ Đức,Thu Duc Water Supply Joint Stock Company,http://capnuocthuduc.vn,http://capnuocthuduc.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TDW2,47500,Đang giao dịch
TEG,HOSE,Công ty Cổ phần Trường Thành Energy Group,Truong Thanh Energy Group Joint Stock Company,https://tteg.vn,https://tteg.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TEG3,5850,Đang giao dịch
THG,HOSE,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,Tien Giang Investment and Construction Joint Stock Company,https://ticco.com.vn,https://ticco.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000THG6,28950,Đang giao dịch
TIP,HOSE,Công ty Cổ phần Phát triển Khu Công nghiệp Tín Nghĩa,Tin Nghia Industrial Park Development Joint Stock Company,https://tinnghiaip.com.vn,https://tinnghiaip.com.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000TIP5,16250,Đang giao dịch
TIX,HOSE,Công ty Cổ phần Sản xuất Kinh doanh XNK Dịch vụ và Đầu tư Tân Bình,Tan Binh Import - Export Joint Stock Corporation,https://tanimex.com.vn,https://tanimex.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TIX9,39000,Đang giao dịch
TLD,HOSE,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Thang Long Urban Development and Construction Investment Joint Stock Company,http://thanglongdeco.com,http://thanglongdeco.com/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000TLD5,8250,Đang giao dịch
TLG,HOSE,Công ty Cổ phần Tập đoàn Thiên Long,Thien Long Group Corporation,https://thienlonggroup.com,https://thienlonggroup.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TLG8,50400,Đang giao dịch
TLH,HOSE,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Tien Len Steel Corporation Joint Stock Company,https://tienlensteel.com.vn,https://tienlensteel.com.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000TLH6,3730,Đang giao dịch
TMP,HOSE,Công ty Cổ phần Thủy điện Thác Mơ,Thac Mo Hydro Power Joint Stock Company,https://tmhpp.com.vn,https://tmhpp.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TMP7,52900,Đang giao dịch
TMS,HOSE,Công ty Cổ phần Transimex,Transimex Corporation,https://transimex.com.vn,https://transimex.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000TMS1,35900,Đang giao dịch
TMT,HOSE,Công ty Cổ phần Ô tô TMT,TMT Motors Corporation,http://tmt-vietnam.com.vn,http://tmt-vietnam.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TMT9,10700,Đang giao dịch
TN1,HOSE,Công ty Cổ phần ROX Key Holdings,ROX Key Holdings Joint Stock Company,https://roxkey.vn,https://roxkey.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TN14,12600,Đang giao dịch
TNC,HOSE,Công ty Cổ phần Cao su Thống Nhất,Thong Nhat Rubber Joint Stock Company,http://trc.com.vn,http://trc.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000TNC3,26050,Đang giao dịch
TNH,HOSE,Công ty Cổ phần Tập đoàn Bệnh viện TNH,TNH Hospital Group Joint Stock Company,https://tnh.com.vn,https://tnh.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000TNH2,8000,Đang giao dịch
TNI,HOSE,Công ty Cổ phần Tập đoàn Thành Nam,Thanh Nam Group Joint Stock Company,https://thanhnamgroup.com.vn,https://thanhnamgroup.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TNI0,5300,Đang giao dịch
TNT,HOSE,Công ty Cổ phần Tập đoàn TNT,TNT Group Joint Stock Company,https://tnt-group.vn,https://tnt-group.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TNT7,9790,Đang giao dịch
TPB,HOSE,Ngân hàng Thương mại Cổ phần Tiên Phong,Tien Phong Commercial Joint Stock Bank,https://tpb.vn,https://tpb.vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000TPB0,14450,Đang giao dịch
TPC,HOSE,Công ty Cổ phần Nhựa Tân Đại Hưng,Tan Dai Hung Plastic Joint Stock Company,http://tandaihungplastic.com,http://tandaihungplastic.com/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000TPC8,12700,Đang giao dịch
TRA,HOSE,Công ty Cổ phần Traphaco,Traphaco Joint Stock Company,https://traphaco.com.vn,https://traphaco.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000TRA8,36900,Đang giao dịch
TRC,HOSE,Công ty Cổ phần Cao su Tây Ninh,Tay Ninh Rubber Joint Stock Company,http://taniruco.com,http://taniruco.com/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000TRC4,82200,Đang giao dịch
TSA,HOSE,Công ty Cổ phần Đầu tư và Xây lắp Trường Sơn,Truong Son Investment and Construction Joint Stock Company,https://truongsonhn.com.vn,https://truongsonhn.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000TSA6,15650,Đang giao dịch
TSC,HOSE,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Techno - Agricultural Supplying Joint Stock Company,http://tsccantho.com.vn,http://tsccantho.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000TSC2,1950,Đang giao dịch
TTA,HOSE,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,Truong Thanh Development and Construction Investment Joint Stock Company,https://truongthanhgroup.com.vn,https://truongthanhgroup.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TTA4,11350,Đang giao dịch
TTE,HOSE,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,Truong Thinh Energy Investment Joint Stock Company,https://dientruongthinh.vn,https://dientruongthinh.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TTE6,33950,Đang giao dịch
TTF,HOSE,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Truong Thanh Furniture Corporation,https://truongthanh.com,https://truongthanh.com/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000TTF3,1570,Đang giao dịch
TV2,HOSE,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Power Engineering Consulting Joint Stock Company 2,http://pecc2.com,http://pecc2.com/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TV22,25900,Đang giao dịch
TVB,HOSE,Công ty Cổ phần Chứng khoán T-Cap,T-Cap Securities Joint Stock Company,https://tcap.vn,https://tcap.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000TVB8,6380,Đang giao dịch
TVS,HOSE,Công ty Cổ phần Chứng khoán Thiên Việt,Thien Viet Securities Joint Stock Company,https://tvs.vn,https://tvs.vn/quan-he-co-dongVCBNg,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000TVS2,14750,Đang giao dịch
TVT,HOSE,Tổng Công ty Việt Thắng - CTCP,Viet Thang Corporation,https://vietthang.com.vn,https://vietthang.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TVT0,14750,Đang giao dịch
TYA,HOSE,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,Taya (Vietnam) Electric Wire and Cable Joint Stock Company,http://taya.com.vn,http://taya.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TYA4,16800,Đang giao dịch
UIC,HOSE,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,Idico Urban and House Development Investment Joint Stock Company,https://udico.com.vn,https://udico.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000UIC1,55900,Đang giao dịch
VAB,HOSE,Ngân hàng Thương mại cổ phần Việt Á,VietNam-Asia Commercial Joint Stock Bank,https://vietabank.com.vn,https://vietabank.com.vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000VAB8,9080,Đang giao dịch
VBB,HOSE,Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín,Viet Nam Thuong Tin Commercial Joint Stock Bank,https://vietbank.com.vn,https://vietbank.com.vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000VBB6,11100,Đang giao dịch
VCA,HOSE,Công ty Cổ phần Thép VICASA,VICASA STEEL JOINT STOCK COMPANY,https://vicasasteel.com,https://vicasasteel.com/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000VCA6,6500,Đang giao dịch
VCB,HOSE,Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,Joint Stock Commercial Bank For Foreign Trade of Viet Nam,https://vietcombank.com.vn,https://vietcombank.com.vn/quan-he-nha-dau-tu,Tài chính,Ngân hàng,VN000000VCB4,58700,Đang giao dịch
VCF,HOSE,Công ty Cổ phần VINACAFÉ Biên Hòa,Vinacafé Bien Hoa Joint Stock Company,https://vinacafebienhoa.com,https://vinacafebienhoa.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VCF5,297000,Đang giao dịch
VCG,HOSE,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Vietnam Construction and Import - Export Joint Stock Corporation,https://vinaconex.com.vn,https://vinaconex.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000VCG3,15500,Đang giao dịch
VCI,HOSE,Công ty Cổ phần Chứng khoán Vietcap,Vietcap Securities Joint Stock Company,https://vietcap.com.vn,https://vietcap.com.vn/quan-he-nha-dau-tu,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000VCI9,21200,Đang giao dịch
VCK,HOSE,Công ty Cổ phần Chứng khoán VPS,VPS Securities Joint Stock Company,https://vps.com.vn,https://vps.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000VCK5,29850,Đang giao dịch
VDP,HOSE,Công ty Cổ phần Dược phẩm Trung Ương Vidipha,Vidipha Central Pharmaceutical Joint Stock Company,http://vidipha.com.vn,http://vidipha.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000VDP2,25200,Đang giao dịch
VDS,HOSE,Công ty Cổ phần Chứng khoán Rồng Việt,Viet Dragon Securities Corporation,https://vdsc.com.vn,https://vdsc.com.vn/quan-he-co-dongVIBNg,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000VDS6,11600,Đang giao dịch
VFG,HOSE,Công ty Cổ phần Khử trùng Việt Nam,Viet Nam Fumigation Joint Stock Company,http://vfc.com.vn,http://vfc.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VFG6,44250,Đang giao dịch
VGC,HOSE,Tổng Công ty Viglacera - CTCP,Viglacera Corporation - JSC,http://viglacera.com.vn,http://viglacera.com.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000VGC3,40500,Đang giao dịch
VHC,HOSE,Công ty Cổ phần Vĩnh Hoàn,Vinh Hoan Corporation,https://vinhhoan.com,https://vinhhoan.com/investors,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000VHC1,52100,Đang giao dịch
VHM,HOSE,Công ty Cổ phần Vinhomes,Vinhomes Joint Stock Company,https://vinhomes.vn,https://vinhomes.vn/vi/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000VHM0,72100,Đang giao dịch
VIB,HOSE,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Vietnam International Commercial Joint Stock Bank,https://vib.com.vn,https://vib.com.vn/vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000VIB1,13700,Đang giao dịch
VIC,HOSE,Tập đoàn Vingroup - Công ty Cổ phần,Vingroup Joint Stock Company,https://vingroup.net,https://ir.vingroup.net,Khác / Chưa phân loại,Chưa phân loại,VN000000VIC9,247700,Đang giao dịch
VID,HOSE,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,Vien Dong Investment Development Trading Corporation,https://dautuviendong.vn,https://dautuviendong.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000VID7,4530,Đang giao dịch
VIP,HOSE,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Viet Nam Petroleum Transport Joint Stock Company,http://vipco.com.vn,http://vipco.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000VIP1,9750,Đang giao dịch
VIX,HOSE,Công ty Cổ phần Chứng khoán VIX,VIX Securities Joint Stock Company,https://vix.vn,https://vix.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000VIX5,13600,Đang giao dịch
VJC,HOSE,Công ty Cổ phần Hàng không VietJet,VietJet Aviation Joint Stock Company,https://vietjetair.com,https://ir.vietjetair.com,Công nghiệp,Vận tải & Logistics,VN000000VJC7,125000,Đang giao dịch
VMD,HOSE,Công ty Cổ phần Y Dược phẩm Vimedimex,Vimedimex Medi - Pharma Joint Stock Company,https://vietpharm.com.vn,https://vietpharm.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000VMD9,13850,Tạm ngừng / Khác
VND,HOSE,Công ty Cổ phần Chứng khoán VNDIRECT,VNDIRECT Securities Corporation,https://vndirect.com.vn,https://vndirect.com.vn/quan-he-co-dongVPBNg,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000VND7,15850,Đang giao dịch
VNG,HOSE,Công ty Cổ phần Du lịch Thành Thành Công,Thanh Thanh Cong Tourist Joint Stock Company,https://ttchospitality.vn,https://ttchospitality.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Du lịch & Giải trí,VN000000VNG0,6090,Đang giao dịch
VNL,HOSE,Công ty Cổ phần Logistics Vinalink,Vinalink Logistics Joint Stock Company,https://vinalinklogistics.com,https://vinalinklogistics.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000VNL0,18900,Đang giao dịch
VNM,HOSE,Công ty Cổ phần Sữa Việt Nam,Viet Nam Dairy Products Joint Stock Company,https://vinamilk.com.vn,https://vinamilk.com.vn/quan-he-co-dongNh,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000VNM8,61300,Đang giao dịch
VNS,HOSE,Công ty Cổ phần Ánh Dương Việt Nam,Vietnam Sun Corporation,https://vinasun.vn,https://vinasun.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VNS5,6400,Đang giao dịch
VOS,HOSE,Công ty Cổ phần Vận tải Biển Việt Nam,Viet Nam Ocean Shipping Joint Stock Company,http://vosco.vn,http://vosco.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000VOS3,11000,Đang giao dịch
VPB,HOSE,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VietNam Prosperity Joint Stock Commercial Bank,https://vpbank.com.vn,https://vpbank.com.vn/quan-he-nha-dau-tuNh,Tài chính,Ngân hàng,VN000000VPB6,27400,Đang giao dịch
VPD,HOSE,Công ty Cổ phần Phát triển Điện lực Việt Nam,Viet Nam Power Development Joint Stock Company,http://vnpd.com.vn,http://vnpd.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000VPD2,21050,Đang giao dịch
VPG,HOSE,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Viet Phat Import Export Trading Investment Joint Stock Company,https://vietphatgroup.com.vn,https://vietphatgroup.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000VPG5,1720,Đang giao dịch
VPH,HOSE,Công ty Cổ phần Vạn Phát Hưng,Van Phat Hung Corporation,http://vanphathung.com,http://vanphathung.com/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000VPH3,2980,Đang giao dịch
VPI,HOSE,Công ty Cổ phần Phát triển BĐS Văn Phú,Van Phu Real Estate Development Joint Stock Company,https://vanphu.vn,https://vanphu.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VPI1,58700,Đang giao dịch
VPL,HOSE,Công ty cổ phần Vinpearl,Vinpearl Joint Stock Company,http://vinpearlland.com,http://vinpearlland.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VPL5,85900,Đang giao dịch
VPS,HOSE,Công ty Cổ phần Thuốc sát trùng Việt Nam,Vietnam Pesticide Joint Stock Company,https://vps.com.vn,https://vps.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VPS0,8700,Đang giao dịch
VPX,HOSE,Công ty cổ phần Chứng khoán VPBANK,VPBANK SECURITIES JSC,https://vpbanks.com.vn,https://vpbanks.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000VPX0,24700,Đang giao dịch
VRC,HOSE,Công ty Cổ phần Bất động sản và Đầu tư VRC,VRC Real Estate and Investment Joint Stock Company,http://vrc.com.vn,http://vrc.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000VRC0,11000,Đang giao dịch
VRE,HOSE,Công ty Cổ phần Vincom Retail,Vincom Retail Joint Stock Company,https://vincom.com.vn,https://ir.vincom.com.vnNh,Khác / Chưa phân loại,Chưa phân loại,VN000000VRE6,26300,Đang giao dịch
VSC,HOSE,Công ty Cổ phần Container Việt Nam,Vietnam Container Shipping Joint Stock Corporation,https://viconship.com,https://viconship.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000VSC8,13500,Đang giao dịch
VSH,HOSE,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,Vinh Son - Song Hinh Hydropower Joint Stock Company,https://vshpc.evn.vn,https://vshpc.evn.vn/quan-he-co-dongDanh,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000VSH7,41300,Đang giao dịch
VSI,HOSE,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,Water Supply Sewerage Construction and Investment Joint Stock Company,http://waseco.com.vn,http://waseco.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Nước & Xử lý chất thải,VN000000VSI5,18500,Đang giao dịch
VTB,HOSE,Công ty Cổ phần Viettronics Tân Bình,Viettronics Tan Binh Joint Stock Company,http://vtb.com.vn,http://vtb.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VTB8,13200,Đang giao dịch
VTO,HOSE,Công ty Cổ phần Vận tải Xăng dầu VITACO,Viet Nam Tanker Joint Stock Company,https://vitaco.petrolimex.com.vn,https://vitaco.petrolimex.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000VTO1,10600,Đang giao dịch
VTP,HOSE,Tổng Công ty Cổ phần Bưu chính Viettel,Viettel Post Joint Stock Corporation,https://viettelpost.com.vn,https://viettelpost.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000VTP8,50400,Đang giao dịch
VVS,HOSE,Công ty cổ phần Đầu tư phát triển máy Việt Nam,VIETNAM MACHINE INVESTMENT DEVELOPMENT JOINT STOCK COMPANY,https://vimid.vn,https://vimid.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VVS8,88700,Đang giao dịch
YBM,HOSE,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,Yen Bai Industry Mineral Joint Stock Company,https://ybm.com.vn,https://ybm.com.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000YBM7,10250,Đang giao dịch
YEG,HOSE,Công ty Cổ phần Tập đoàn Yeah1,Yeah1 Group Corporation,https://yeah1group.com,https://yeah1group.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000YEG3,7200,Đang giao dịch
ADC,HNX,Cổ phiếu Công ty Cổ phần Mĩ thuật và Truyền thông,Art Design and Communication Joint Stock Company,http://adc.net.vn,http://adc.net.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Truyền thông & Xuất bản,VN000000ADC4,16400,Đang giao dịch
ALT,HNX,Cổ phiếu CTCP Văn hóa Tân Bình,ALTA Company,https://alt.com.vn,https://alt.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000ALT1,12000,Đang giao dịch
AMC,HNX,Cổ phiếu Công ty cổ phần Khoáng sản Á Châu,Asia Mineral Joint Stock Company,http://amcvina.vn,http://amcvina.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000AMC5,13600,Đang giao dịch
AME,HNX,Công ty cổ phần Alphanam E&C,Alphanam E&C JSC,http://alphanamec.com.vn,http://alphanamec.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000AME1,6800,Đang giao dịch
AMV,HNX,Cổ phiếu CTCP SXKD Dược và trang thiết bị Việt Mỹ,American Vietnamese Biotech Incorporation,https://amvpharma.vn,https://amvpharma.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000AMV5,1100,Đang giao dịch
API,HNX,Cổ phiếu CTCP Đầu tư  Châu á - Thái Bình Dương,Asia - Pacific Investment JSC,https://apec.com.vn,https://apec.com.vn/chung-khoan-apsBABNg,Bất động sản,Bất động sản dân dụng,VN000000API5,5500,Đang giao dịch
APS,HNX,Cổ phiếu CTCP Chứng khoán Châu á - Thái Bình Dương,Asia - Pacific Securities Joint Stock Company,https://apec.com.vn,,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000APS4,5800,Đang giao dịch
ARM,HNX,ARM - CTCP Xuất nhập khẩu Hàng không,General Aviation Import – Export JSC,https://airimex.vn,https://airimex.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000ARM3,45800,Đang giao dịch
ATS,HNX,Công ty Cổ phần Tập đoàn đầu tư ATS,ATS Investment Group Joint Stock Company,https://atsinvest.com.vn,https://atsinvest.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000ATS6,23400,Đang giao dịch
BAB,HNX,Ngân hàng Thương mại Cổ phần Bắc Á,Bac A Commercial Joint Stock Bank,https://bac-abank.vn,https://bac-abank.vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000BAB0,10700,Đang giao dịch
BAX,HNX,CTCP Thong Nhat,Thong Nhat Joint Stock Company,http://bauxeo.com.vn,http://bauxeo.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000BAX4,30000,Đang giao dịch
BBS,HNX,Công ty cổ phần Vicem Bao bì Bút Sơn,Vicem Packaging But Son Joint Stock Company,https://butsonpackaging.vn,https://butsonpackaging.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000BBS2,11800,Đang giao dịch
