Mã CK,Tên Doanh Nghiệp,Tên thương hiệu / Viết tắt,Sàn giao dịch,Ngành ICB Cấp 1 (Industry),Ngành ICB Cấp 2 (Supersector),Ngành ICB Cấp 3 (Sector),Ngành ICB Cấp 4 (Subsector),Mã Phân Ngành (ICB Code L4),Nguồn tham khảo (Source),Trang chủ (Website),Cổng thông tin IR (Quan hệ CĐ)
MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh,Môi trường Đô thị Đông Anh,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,http://moitruongdonganh.vn,http://moitruongdonganh.vn/quan-he-co-dong
MDF,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị,Gỗ MDF VRG - Quảng Trị,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,1733,FiinPro / Vietcap IQ & Sở GDCK,http://www.mdfquangtri.vn,http://www.mdfquangtri.vn/quan-he-co-dong
MEC,Công ty Cổ phần Cơ khí - Lắp máy Sông Đà,Lắp máy Sông Đà,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://someco.com.vn,https://someco.com.vn/quan-he-co-dong
MEF,Công ty Cổ phần MEINFA,MEINFA,UPCOM,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Dụng cụ y tế,4537,FiinPro / Vietcap IQ & Sở GDCK,http://meinfa.vn,http://meinfa.vn/quan-he-co-dong
MES,Công ty Cổ phần Cơ điện Công trình,Cơ điện Công trình,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://mesc.com.vn/,http://mesc.com.vn/quan-he-co-dong
MFS,Công ty Cổ phần Dịch vụ kỹ thuật Mobifone,Mobifone Service,UPCOM,Viễn thông,Viễn thông,Viễn thông di động,Viễn thông di động,6575,FiinPro / Vietcap IQ & Sở GDCK,http://mobifoneservice.com.vn,http://mobifoneservice.com.vn/quan-he-co-dong
MGC,Công ty Cổ phần Địa chất mỏ - TKV,Địa chất mỏ - TKV,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,1775,FiinPro / Vietcap IQ & Sở GDCK,https://minegeology.vn/default.aspx,https://minegeology.vn/default.aspx/quan-he-co-dong
MGG,Tổng Công ty Đức Giang - Công ty Cổ phần,May Đức Giang,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://www.mayducgiang.com.vn,http://www.mayducgiang.com.vn/quan-he-co-dong
MGR,Công ty cổ phần Tập đoàn MGROUP,Tập đoàn MGROUP,UPCOM,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://www.mgroup.vn/,https://www.mgroup.vn/quan-he-co-dong
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,KCN Cao su Bình Long,UPCOM,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://blip.vn/,https://blip.vn/quan-he-co-dong
MHL,Công ty Cổ phần Minh Hữu Liên,Minh Hữu Liên,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,FiinPro / Vietcap IQ & Sở GDCK,http://www.minghuulien.com.vn,http://www.minghuulien.com.vn/quan-he-co-dong
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,Máy và Thiết bị Công nghiệp,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2757,FiinPro / Vietcap IQ & Sở GDCK,https://mie.com.vn,https://mie.com.vn/quan-he-co-dong
MKP,Công ty Cổ phần Hóa - Dược phẩm Mekophar,Dược phẩm Mekophar,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://mekophar.com,https://mekophar.com/quan-he-co-dong
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,Môi trường Đô thị Tỉnh Lào Cai,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,https://moitruongdothilaocai.com.vn,https://moitruongdothilaocai.com.vn/quan-he-co-dong
MLS,Công ty Cổ phần Chăn nuôi - Mitraco,Chăn nuôi Mitraco,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,http://channuoimitraco.com.vn/,http://channuoimitraco.com.vn/quan-he-co-dong
MML,Công ty Cổ phần Masan MEATLife,Masan MEATLife,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,https://masanmeatlife.com.vn/,https://masanmeatlife.com.vn/quan-he-co-dong
MNB,Tổng Công ty May Nhà Bè - Công ty Cổ phần,May Nhà Bè,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://www.nhabe.com.vn,http://www.nhabe.com.vn/quan-he-co-dong
MND,Công ty Cổ phần Môi trường Nam Định,Môi trường Nam Định,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,https://moitruongnamdinh.com.vn,https://moitruongnamdinh.com.vn/quan-he-co-dong
MPC,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,Thủy sản Minh Phú,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,http://minhphu.com,http://minhphu.com/quan-he-co-dong
MPT,Công ty Cổ phần Tập đoàn MPT,Tập đoàn MPT,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://mptgroup.com.vn,http://mptgroup.com.vn/quan-he-co-dong
MPY,Công ty Cổ phần Môi trường đô thị Phú Yên,Môi trường đô thị Phú Yên,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,https://moitruongdothiphuyen.vn/,https://moitruongdothiphuyen.vn/quan-he-co-dong
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Môi trường và PT đô thị Quảng Bình,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,https://urencoquangbinh.com.vn/,https://urencoquangbinh.com.vn/quan-he-co-dong
MQN,Công ty Cổ phần Môi trường đô thị Quảng Ngãi,Môi trường đô thị Quảng Ngãi,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,https://moitruongdothiquangngai.com.vn,https://moitruongdothiquangngai.com.vn/quan-he-co-dong
MRF,Công ty Cổ phần MERUFA,Cao su y tế MERUFA,UPCOM,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế,4535,FiinPro / Vietcap IQ & Sở GDCK,http://www.merufa.com.vn,http://www.merufa.com.vn/quan-he-co-dong
MSR,Công ty Cổ phần Masan High-Tech Materials,Masan High-Tech Materials,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,1775,FiinPro / Vietcap IQ & Sở GDCK,https://masanhightechmaterials.com/,https://masanhightechmaterials.com/quan-he-co-dong
MT7,Công ty Cổ phần Sản Xuất Thương Mại Dịch Vụ Xây Dựng Minh Thành,Công Ty Cổ Phần Minh Thành,UPCOM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Nhà hàng và quán bar,5757,FiinPro / Vietcap IQ & Sở GDCK,,https://finance.vietstock.vn/MT7/ho-so-doanh-nghiep.htm
MT9,Công ty Cổ phần 319 Miền Trung,319 Miền Trung,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,,https://finance.vietstock.vn/MT9/ho-so-doanh-nghiep.htm
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - Công ty Cổ phần,Khoáng sản và TM Hà Tĩnh,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,1775,FiinPro / Vietcap IQ & Sở GDCK,http://mitraco.com.vn,http://mitraco.com.vn/quan-he-co-dong
MTB,Công ty Cổ phần Môi trường và Công trình đô thị tỉnh Thái Bình,Công trình đô thị tỉnh Thái Bình,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,http://moitruongdothithaibinh.com,http://moitruongdothithaibinh.com/quan-he-co-dong
MTG,Công ty Cổ phần MT Gas,MTGAS,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,7573,FiinPro / Vietcap IQ & Sở GDCK,http://mtgas.com.vn,http://mtgas.com.vn/quan-he-co-dong
MTH,Công ty Cổ phần Môi trường Đô thị Hà Đông,Môi trường Đô thị Hà Đông,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,https://moitruongdothihadong.com.vn/,https://moitruongdothihadong.com.vn/quan-he-co-dong
MTL,Công ty Cổ phần Dịch vụ Môi trường Đô thị Từ Liêm,Môi trường Đô thị Từ Liêm,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,http://moitruongdothituliem.com.vn,http://moitruongdothituliem.com.vn/quan-he-co-dong
MTP,Công ty Cổ phần Dược Medipharco,Dược Medipharco,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,http://www.medipharco.com.vn,http://www.medipharco.com.vn/quan-he-co-dong
MTS,Công ty Cổ phần Vật tư - TKV,Vật tư - TKV,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Nhà cung cấp thiết bị,2797,FiinPro / Vietcap IQ & Sở GDCK,http://www.vmts.vn,http://www.vmts.vn/quan-he-co-dong
MTV,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Công trình đô thị Vũng Tàu,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,https://dothivungtau.com.vn/,https://dothivungtau.com.vn/quan-he-co-dong
MVC,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,VL và XD Bình Dương,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://www.vlxdbd.com.vn,http://www.vlxdbd.com.vn/quan-he-co-dong
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP,TCT Hàng hải Việt Nam,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2773,FiinPro / Vietcap IQ & Sở GDCK,https://vimc.co,https://vimc.co/quan-he-co-dong
NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,Tư vấn xây dựng Tổng hợp,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://nagecco.com,https://nagecco.com/quan-he-co-dong
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Việt Nam,DV Hàng không SB Việt Nam,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,http://nasco.com.vn,http://nasco.com.vn/quan-he-co-dong
NAU,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An,Công trình Đô thị Nghệ An,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,http://moitruongdothinghean.com.vn,http://moitruongdothinghean.com.vn/quan-he-co-dong
NAW,Công ty Cổ phần Cấp nước Nghệ An,Cấp nước Nghệ An,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,http://www.nawasco.com.vn,http://www.nawasco.com.vn/quan-he-co-dong
NBE,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Bắc,Sách và Thiết bị GD Miền Bắc,UPCOM,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",5557,FiinPro / Vietcap IQ & Sở GDCK,http://stbmienbac.vn,http://stbmienbac.vn/quan-he-co-dong
NBT,Công ty Cổ phần Cấp thoát nước Bến Tre,Cấp thoát nước Bến Tre,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://capnuocbentre.vn,https://capnuocbentre.vn/quan-he-co-dong
NCG,Công ty Cổ phần Đầu tư Anova Agri,Đầu tư Anova Agri,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://www.anovaagri.com.vn/,https://www.anovaagri.com.vn/quan-he-co-dong
NCS,Công ty Cổ phần Suất ăn Hàng không Nội Bài,Suất ăn Hàng không Nội Bài,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,https://www.noibaicatering.com.vn,https://www.noibaicatering.com.vn/quan-he-co-dong
ND2,Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2,Đầu tư và PT điện Miền Bắc 2,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,http://nedi2.com.vn,http://nedi2.com.vn/quan-he-co-dong
NDC,Công ty Cổ phần Nam Dược,Dược phẩm Nam Dược,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://namduoc.vn,https://namduoc.vn/quan-he-co-dong
NDF,Công ty Cổ phần Chế biến thực phẩm nông sản xuất khẩu Nam Định,Nông sản XK Nam Định,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,http://namdinhfoods.com,http://namdinhfoods.com/quan-he-co-dong
NDP,Công ty Cổ phần Dược phẩm 2/9,Dược phẩm 2/9,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://www.nadyphar.com.vn,https://www.nadyphar.com.vn/quan-he-co-dong
NDT,Tổng Công ty Cổ phần Dệt may Nam Định,Dệt may Nam Định,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://natexco.com.vn,http://natexco.com.vn/quan-he-co-dong
NDW,Công ty Cổ phần Cấp nước Nam Định,Cấp nước Nam Định,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,http://capnuocnamdinh.vn,http://capnuocnamdinh.vn/quan-he-co-dong
NED,Công ty Cổ phần Đầu tư và Phát triển Điện Tây Bắc,Phát triển Điện Tây Bắc,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://ned.vn,https://ned.vn/quan-he-co-dong
NGC,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Ngô Quyền,Thủy sản Ngô Quyền,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://www.ngoprexco.com.vn,https://www.ngoprexco.com.vn/quan-he-co-dong
NHD,Công ty Cổ phần Dược phẩm Nam Hà,Dược phẩm Nam Hà,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://namhapharma.com,https://namhapharma.com/quan-he-co-dong
NHV,Công ty Cổ phần Sức khỏe Hồi sinh Việt Nam,CTCP  Sức khỏe Hồi sinh Việt Nam,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Kim Loại màu,1755,FiinPro / Vietcap IQ & Sở GDCK,https://nhv.com.vn/,https://nhv.com.vn/quan-he-co-dong
NJC,Công ty Cổ phần May Nam Định,May Nam Định,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://www.nagaco.com,http://www.nagaco.com/quan-he-co-dong
NLS,Công ty Cổ phần Cấp thoát nước Lạng Sơn,Cấp thoát nước Lạng Sơn,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://capthoatnuoclangson.com.vn/,https://capthoatnuoclangson.com.vn/quan-he-co-dong
NNT,Công ty Cổ phần Cấp nước Ninh Thuận,Cấp nước Ninh Thuận,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,http://www.capnuocninhthuan.com,http://www.capnuocninhthuan.com/quan-he-co-dong
NOS,Công ty Cổ phần Vận tải Biển và Thương mại Phương Đông,Vận tải Biển và Thương mại Phương Đông,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2773,FiinPro / Vietcap IQ & Sở GDCK,https://ostc.com.vn/,https://ostc.com.vn/quan-he-co-dong
NQB,Công ty Cổ phần Cấp nước Quảng Bình,Cấp nước Quảng Bình,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,http://capnuocquangbinh.vn,http://capnuocquangbinh.vn/quan-he-co-dong
NQN,Công ty Cổ phần Nước sạch Quảng Ninh,Nước sạch Quảng Ninh,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://quawaco.com.vn/,https://quawaco.com.vn/quan-he-co-dong
NSG,Công ty Cổ phần Nhựa Sài Gòn,Nhựa Sài Gòn,UPCOM,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,http://www.saigonplastic.com.vn,http://www.saigonplastic.com.vn/quan-he-co-dong
NSL,Công ty Cổ phần Cấp nước Sơn La,Cấp nước Sơn La,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://capnuocsonla.vn/,https://capnuocsonla.vn/quan-he-co-dong
NSS,Công ty Cổ phần Nông súc sản Đồng Nai,Nông súc sản Đồng Nai,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,http://www.dolicovn.com,http://www.dolicovn.com/quan-he-co-dong
NTF,Công ty Cổ phần Dược - Vật tư y tế Nghệ An,Dược Nghệ An,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,http://www.dnapharma.com.vn,http://www.dnapharma.com.vn/quan-he-co-dong
NTT,Công ty Cổ phần Dệt - May Nha Trang,Dệt - May Nha Trang,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://nhatrangtex.com/default.aspx,http://nhatrangtex.com/default.aspx/quan-he-co-dong
NTW,Công ty Cổ phần Cấp nước Nhơn Trạch,Cấp nước Nhơn Trạch,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,http://ntw.com.vn,http://ntw.com.vn/quan-he-co-dong
NUE,Công ty Cổ phần Môi trường Đô thị Nha Trang,Môi trường Đô thị Nha Trang,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,2799,FiinPro / Vietcap IQ & Sở GDCK,http://urenconhatrang.com.vn/,http://urenconhatrang.com.vn/quan-he-co-dong
NVP,Công ty Cổ phần Nước sạch Vĩnh Phúc,Nước sạch Vĩnh Phúc,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://nuocsachvinhphuc.com.vn/,https://nuocsachvinhphuc.com.vn/quan-he-co-dong
NWT,Công ty Cổ phần Vận tải Newway,Vận tải Newway,UPCOM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch,5759,FiinPro / Vietcap IQ & Sở GDCK,https://newwayjsc.com.vn,https://newwayjsc.com.vn/quan-he-co-dong
NXT,Công ty Cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,SX và Cung ứng VLXD Kon Tum,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://kovalixa.net/,http://kovalixa.net/quan-he-co-dong
ODE,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Tập đoàn Truyền thông và Giải trí ODE,UPCOM,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Giải trí & Truyền thông,5553,FiinPro / Vietcap IQ & Sở GDCK,https://ode.vn/,https://ode.vn/quan-he-co-dong
OIL,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,PV Oil,UPCOM,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,533,FiinPro / Vietcap IQ & Sở GDCK,https://www.pvoil.com.vn/,https://www.pvoil.com.vn/quan-he-co-dong
ONW,Công ty Cổ phần Tập đoàn ONW,Tập đoàn ONW,UPCOM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,5755,FiinPro / Vietcap IQ & Sở GDCK,https://www.oneworld.vn/,https://www.oneworld.vn/quan-he-co-dong
PAI,"Công ty Cổ phần Công nghệ thông tin, Viễn thông và Tự động hóa Dầu khí","CNTT, VT và Tự động hóa Dầu khí - PAIC",UPCOM,Viễn thông,Viễn thông,Viễn thông cố định,Viễn thông cố định,6535,FiinPro / Vietcap IQ & Sở GDCK,http://www.paic.pvn.vn/,http://www.paic.pvn.vn/quan-he-co-dong
PAP,Công ty Cổ phần Dầu khí đầu tư khai thác Cảng Phước An,Cảng Phước An,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://pap.vn/,https://pap.vn/quan-he-co-dong
PAS,Công ty Cổ phần Quốc tế Phương Anh,Quốc tế Phương Anh,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,FiinPro / Vietcap IQ & Sở GDCK,http://www.phuonganhgroup.com.vn,http://www.phuonganhgroup.com.vn/quan-he-co-dong
PAT,Công ty Cổ phần Phốt pho Apatit Việt Nam,Phốt pho Apatit Việt Nam,UPCOM,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1357,FiinPro / Vietcap IQ & Sở GDCK,https://pacvietnam.vn/,https://pacvietnam.vn/quan-he-co-dong
PBC,Công ty Cổ phần Dược Phẩm Trung ương 1 - Pharbaco,Dược Phẩm TW 1- Pharbaco,UPCOM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://pharbaco.com.vn/,https://pharbaco.com.vn/quan-he-co-dong
PBT,Công ty Cổ Phần Bao bì và Thương mại Dầu khí Bình Sơn,Bao bì và TM Dầu khí Bình Sơn,UPCOM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2723,FiinPro / Vietcap IQ & Sở GDCK,https://bsppt.com.vn/,https://bsppt.com.vn/quan-he-co-dong
PCB,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,PVcomBank,UPCOM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,FiinPro / Vietcap IQ & Sở GDCK,https://www.pvcombank.com.vn,https://www.pvcombank.com.vn/quan-he-co-dong
PCC,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Xây lắp 1- Petrolimex,UPCOM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://pcc1.petrolimex.com.vn/,https://pcc1.petrolimex.com.vn/quan-he-co-dong
PCF,Công ty Cổ phần Cà phê PETEC,Cà phê PETEC,UPCOM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát,3537,FiinPro / Vietcap IQ & Sở GDCK,http://www.petecof.vn,http://www.petecof.vn/quan-he-co-dong
PCG,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,Đầu tư PT Gas Đô thị,UPCOM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,7573,FiinPro / Vietcap IQ & Sở GDCK,http://pvgascity.com.vn,http://pvgascity.com.vn/quan-he-co-dong
